count,rrname,time_interval,rrname_label,bailiwick_label,rdata_count,label
222,0-kgame.com.,355,0,0,1,0
175,0-kgame.com.,361,0,0,1,0
20,0-kgame.com.,19,0,0,1,0
1038,001-design.com.,2323,1,1,1,0
5,001-design.com.,14,1,1,1,0
372,001chuantai.com.,1609,2,2,1,0
4,001chuantai.com.,1,2,2,1,0
4,001piao.com.,192,3,3,1,0
35,001piao.com.,183,3,3,1,0
3,001piao.com.,13,3,3,1,0
146,001piao.com.,477,3,3,1,0
138,001piao.com.,192,3,3,1,0
10,001piao.com.,570,3,3,1,0
1310,001piao.com.,1934,3,3,1,0
32,001shentu.com.,59,4,4,1,0
71,001shentu.com.,442,4,4,1,0
19,001shentu.com.,48,4,4,1,0
231,001shentu.com.,302,4,4,1,0
154,001shentu.com.,420,4,4,1,0
1,0039italia.com.,0,5,5,1,0
3,0039italia.com.,1,5,5,1,0
843,0039italia.com.,1433,5,5,1,0
5,0039italia.com.,2,5,5,1,0
4,0039italia.com.,0,5,5,1,0
31,0039italia.com.,154,5,5,1,0
79,0039italia.com.,126,5,5,1,0
1,0039italia.com.,0,5,5,1,0
2,0039italia.com.,20,5,5,1,0
33,0039italia.com.,92,5,5,1,0
1016,007amzhentan.com.,2624,6,6,1,0
2,007amzhentan.com.,0,6,6,2,0
50,007amzhentan.com.,74,6,6,1,0
189,007jiafen.com.,537,7,7,1,0
88,007jieshaohuo.com.,145,8,8,1,0
215,007jieshaohuo.com.,594,8,8,1,0
359,007jieshaohuo.com.,529,8,8,1,0
423,007jieshaohuo.com.,794,8,8,1,0
9,007jieshaohuo.com.,23,8,8,1,0
51,007jieshaohuo.com.,577,8,8,1,0
822,007wangluo.com.,1529,9,9,1,0
2,00pin.com.,0,10,10,1,0
14,00pin.com.,32,10,10,1,0
7,00pin.com.,33,10,10,1,0
366,00pin.com.,923,10,10,1,0
6,00pin.com.,168,10,10,1,0
171,00tuan.cn.,1269,11,11,1,1
989,01-cloud.com.,2211,12,12,1,0
6,01-design.com.cn.,211,13,13,1,0
