,filename,DebugSize,DebugRVA,ImageVersion,OSVersion,ExportRVA,ExportSize,IATRVA,ResSize,LinkerVersion,NumberOfSections,StackReserveSize,Dll
Backdoor.Win32.Agent.bjkd_4713.exe,./data/black/Backdoor.Win32.Agent.bjkd_4713.exe,0,0,1,4,0,0,0,5264,2,6,1048576,512
Backdoor.Win32.Bifrose.dxtc_3871.exe,./data/black/Backdoor.Win32.Bifrose.dxtc_3871.exe,0,0,0,4,0,0,0,63997,5,2,1048576,0
Backdoor.Win32.Bifrose.dxyg_cca1.exe,./data/black/Backdoor.Win32.Bifrose.dxyg_cca1.exe,0,0,1,4,0,0,4096,2480,144,3,1048576,0
Backdoor.Win32.Bifrose.frf_a672.exe,./data/black/Backdoor.Win32.Bifrose.frf_a672.exe,0,0,0,4,0,0,0,55650,6,8,1048576,0
Backdoor.Win32.Bifrose.fxv_5177.exe,./data/black/Backdoor.Win32.Bifrose.fxv_5177.exe,0,0,0,4,0,0,4096,2396,6,4,1048576,0
Backdoor.Win32.Bifrose.fxv_5f83.exe,./data/black/Backdoor.Win32.Bifrose.fxv_5f83.exe,0,0,0,4,0,0,4096,2396,6,6,1048576,0
Backdoor.Win32.Bifrose.fxv_721e.exe,./data/black/Backdoor.Win32.Bifrose.fxv_721e.exe,0,0,0,4,0,0,4096,1872,6,4,1048576,0
Backdoor.Win32.Bifrose.fxv_8146.exe,./data/black/Backdoor.Win32.Bifrose.fxv_8146.exe,0,0,0,4,0,0,4096,2396,6,4,1048576,0
Backdoor.Win32.DsBot.ati_3110.exe,./data/black/Backdoor.Win32.DsBot.ati_3110.exe,0,0,1,4,0,0,0,2304,0,5,1048576,0
Backdoor.Win32.Poison.cirg_386d.exe,./data/black/Backdoor.Win32.Poison.cirg_386d.exe,0,0,1,4,0,0,0,3224,6,7,1048576,0
