,0,1,2,3
0,Give,VB,ROOT,0
1,me,PRP,dative,0
2,all,DT,det,0
3,cosmonauts,NNS,dobj,1
4,In,IN,prep,0
5,which,WDT,det,0
6,country,NN,pcomp,1
7,does,VBZ,aux,0
8,the,DT,det,0
9,Ganges,NNPS,nsubj,1
10,start,VB,ROOT,1
11,When,WRB,advmod,0
12,is,VBZ,ROOT,0
13,the,DT,det,1
14,movie,NN,nsubj,1
15,Worst,NNP,compound,1
16,Case,NNP,compound,1
17,Scenario,NNP,nsubj,1
18,going,VBG,relcl,0
19,to,TO,aux,0
20,be,VB,xcomp,0
21,in,IN,prep,1
22,cinemas,NNS,pobj,0
23,in,IN,prep,1
24,the,DT,det,1
25,Netherlands,NNP,pobj,1
26,Which,WDT,det,0
27,German,JJ,amod,1
28,cities,NNS,nsubj,0
29,have,VBP,ROOT,0
30,more,JJR,amod,1
31,than,IN,quantmod,1
32,250000,CD,nummod,1
33,inhabitants,NNS,dobj,1
34,Who,WP,attr,0
35,was,VBD,ROOT,0
36,John,NNP,compound,1
37,Kennedy,NNP,poss,1
38,'s,POS,case,0
39,vice,NN,compound,1
40,president,NN,attr,1
41,Who,WP,attr,0
42,is,VBZ,ROOT,0
43,the,DT,det,0
44,mayor,NN,attr,1
45,of,IN,prep,0
46,Berlin,NNP,pobj,1
47,How,WRB,advmod,0
48,many,JJ,amod,0
49,students,NNS,nsubj,1
50,does,VBZ,aux,0
51,the,DT,det,0
52,Free,NNP,compound,1
53,University,NNP,nsubj,1
54,in,IN,prep,0
55,Amsterdam,NNP,pobj,1
56,have,VBP,ROOT,0
57,What,WP,attr,0
58,is,VBZ,ROOT,0
59,the,DT,det,0
60,second,JJ,amod,1
61,highest,JJS,amod,1
62,mountain,NN,nsubj,1
63,on,IN,prep,1
64,Earth,NNP,pobj,0
65,Give,VB,ROOT,0
66,me,PRP,dative,0
67,all,DT,det,0
68,professional,JJ,amod,1
69,skateboarders,NNS,dobj,0
70,from,IN,prep,0
71,Sweden,NNP,pobj,1
72,When,WRB,advmod,0
73,was,VBD,auxpass,0
74,Alberta,NNP,nsubj,1
75,admitted,VBD,ROOT,0
76,as,IN,prep,0
77,province,NN,pobj,1
78,To,TO,prep,0
79,which,WDT,det,0
80,countries,NNS,nsubj,0
81,does,VBZ,aux,0
82,the,DT,det,0
83,Himalayan,JJ,compound,1
84,mountain,NN,compound,1
85,system,NN,nsubj,1
86,extend,VB,ROOT,1
87,Give,VB,ROOT,0
88,me,PRP,dative,0
89,list,NN,dobj,0
90,of,IN,prep,0
91,all,DT,det,0
92,bandleaders,NNS,pobj,0
93,that,WDT,nsubj,0
94,play,VBP,relcl,1
95,trumpet,NN,dobj,1
96,Which,WDT,det,0
97,countries,NNS,nsubj,0
98,have,VBP,ROOT,0
99,more,JJR,amod,1
100,than,IN,quantmod,1
101,ten,CD,nummod,1
102,caves,NNS,dobj,0
103,What,WP,attr,0
104,is,VBZ,ROOT,0
105,the,DT,det,0
106,total,JJ,amod,1
107,amount,NN,nsubj,1
108,of,IN,prep,0
109,men,NNS,pobj,1
110,and,CC,cc,0
111,women,NNS,conj,1
112,serving,VBG,acl,0
113,in,IN,prep,0
114,the,DT,det,0
115,FDNY,NNP,pobj,1
116,Who,WP,nsubj,0
117,produces,VBZ,ROOT,0
118,Orangina,NNP,dobj,1
119,Who,WP,attr,0
120,is,VBZ,ROOT,0
121,the,DT,det,0
122,Formula,NNP,nmod,1
123,race,NN,compound,1
124,driver,NN,nsubj,1
125,with,IN,prep,0
126,the,DT,det,0
127,most,JJS,amod,1
128,races,NNS,pobj,1
129,Give,VB,ROOT,0
130,me,PRP,dative,0
131,all,DT,det,0
132,world,NN,compound,1
133,heritage,NN,compound,1
134,sites,NNS,dobj,0
135,designated,VBN,acl,0
136,within,IN,prep,0
137,the,DT,det,0
138,past,JJ,amod,1
139,two,CD,nummod,1
140,years,NNS,pobj,1
141,Who,WP,attr,0
142,is,VBZ,ROOT,0
143,the,DT,det,0
144,youngest,JJS,amod,1
145,player,NN,attr,1
146,in,IN,prep,0
147,the,DT,det,0
148,Premier,NNP,compound,1
149,League,NNP,pobj,1
150,Give,VB,ROOT,0
151,me,PRP,dative,1
152,all,DT,det,0
153,members,NNS,dobj,0
154,of,IN,prep,0
155,Prodigy,NNP,pobj,1
156,What,WP,attr,0
157,is,VBZ,ROOT,0
158,the,DT,det,0
159,longest,JJS,amod,1
160,river,NN,nsubj,1
161,Does,VBZ,aux,0
162,Breaking,VBG,compound,1
163,Bad,NNP,nsubj,1
164,have,VB,ROOT,0
165,more,JJR,amod,1
166,episodes,NNS,dobj,1
167,than,IN,prep,1
168,Game,NNP,pobj,1
169,of,IN,prep,1
170,Thrones,NNP,pobj,1
171,Give,VB,ROOT,0
172,me,PRP,dative,0
173,all,DT,det,0
174,cars,NNS,dobj,0
175,that,WDT,nsubjpass,0
176,are,VBP,auxpass,0
177,produced,VBN,relcl,0
178,in,IN,prep,0
179,Germany,NNP,pobj,1
180,What,WP,attr,0
181,were,VBD,ROOT,0
182,the,DT,det,0
183,main,JJ,amod,1
184,discoveries,NNS,nsubj,1
185,of,IN,prep,0
186,the,DT,det,0
187,Mars,NNP,compound,1
188,rover,NN,compound,1
189,Curiosity,NNP,pobj,1
190,Give,VB,ROOT,0
191,me,PRP,dative,0
192,all,DT,det,0
193,people,NNS,dobj,1
194,that,WDT,nsubjpass,0
195,were,VBD,auxpass,0
196,born,VBN,relcl,1
197,in,IN,prep,1
198,Vienna,NNP,pobj,1
199,and,CC,cc,0
200,died,VBD,conj,0
201,in,IN,prep,1
202,Berlin,NNP,pobj,1
203,Is,VBZ,ROOT,0
204,proinsulin,VB,nsubj,1
205,protein,NN,attr,1
206,How,WRB,advmod,0
207,tall,JJ,acomp,1
208,is,VBZ,ROOT,0
209,Michael,NNP,compound,1
210,Jordan,NNP,nsubj,1
211,What,WP,attr,0
212,is,VBZ,ROOT,0
213,the,DT,det,0
214,capital,NN,nsubj,1
215,of,IN,prep,0
216,Canada,NNP,pobj,1
217,Who,WP,attr,0
218,is,VBZ,ROOT,0
219,the,DT,det,0
220,governor,NN,attr,1
221,of,IN,prep,0
222,Wyoming,NNP,pobj,1
223,Do,VBP,aux,0
224,Prince,NNP,compound,1
225,Harry,NNP,nsubj,1
226,and,CC,cc,0
227,Prince,NNP,compound,1
228,William,NNP,conj,1
229,have,VB,ROOT,0
230,the,DT,det,0
231,same,JJ,amod,1
232,parents,NNS,dobj,1
233,Who,WP,attr,0
234,was,VBD,ROOT,0
235,the,DT,det,1
236,father,NN,attr,1
237,of,IN,prep,0
238,Queen,NNP,compound,1
239,Elizabeth,NNP,compound,1
240,II,NNP,pobj,1
